fdc_id,food_name,wweia_category,wweia_category_description,food_group,meal_tags,serving_grams,calories,protein_g,carbohydrate_g,fat_g,fiber_g,sugars_g,sodium_mg,saturated_fat_g,vegetarian,vegan,minimally_processed,source
2709299,"Fruit salad, excluding citrus fruits, with marshmallows",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,351.4,2.5,24.6,27.3,2.0,17.8,173.6,3.8,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709298,"Fruit salad, excluding citrus fruits, with nondairy whipped topping",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,214.2,2.7,24.2,12.1,2.4,18.3,4.2,3.2,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709296,"Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,345.8,2.5,19.0,29.0,2.1,13.9,177.8,4.0,True,False,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709297,"Fruit salad, excluding citrus fruits, with whipped cream",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,229.6,2.8,21.4,14.9,2.2,15.6,4.2,4.2,True,False,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709287,"Fruit salad, fresh or raw, excluding citrus fruits, no dressing",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,82.6,0.9,19.5,0.3,2.1,14.6,5.6,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709288,"Fruit salad, fresh or raw, including citrus fruits, no dressing",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,78.4,1.0,18.9,0.3,2.4,14.3,5.6,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709303,"Fruit salad, including citrus fruit, with whipped cream",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,221.2,2.9,20.5,14.5,2.8,14.8,4.2,4.1,True,False,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709305,"Fruit salad, including citrus fruits, with marshmallows",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,341.6,2.6,23.7,26.7,2.4,17.1,170.8,3.7,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709304,"Fruit salad, including citrus fruits, with nondairy whipped topping",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,207.2,2.8,23.2,11.8,2.9,17.5,4.2,3.2,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709302,"Fruit salad, including citrus fruits, with salad dressing or mayonnaise",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,336.0,2.6,18.2,28.4,2.5,13.2,173.6,3.9,True,False,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709295,"Fruit, chocolate covered",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,186.2,2.0,28.2,9.4,3.8,21.9,2.8,5.4,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709214,"Fruit, pickled",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,88.2,0.8,21.4,0.3,2.0,19.2,1339.8,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709166,"Grapefruit, canned",6012,Citrus fruits,fruit,"breakfast,dinner,lunch",140.0,50.4,0.8,12.8,0.1,0.6,12.2,2.8,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709165,"Grapefruit, raw",6012,Citrus fruits,fruit,"breakfast,dinner,lunch",140.0,58.8,1.1,14.9,0.2,2.2,9.6,0.0,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709237,"Grapes, raw",6006,Grapes,fruit,"breakfast,dinner,lunch",140.0,116.2,1.3,27.2,0.3,1.3,23.4,7.0,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709238,"Guava, raw",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,95.2,3.6,20.0,1.3,7.6,12.5,2.8,0.4,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709241,"Honeydew melon, raw",6014,Melons,fruit,"breakfast,dinner,lunch",140.0,50.4,0.8,12.7,0.2,1.1,11.4,25.2,0.1,True,False,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709239,"Kiwi fruit, raw",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,89.6,1.5,19.6,0.6,4.2,12.6,7.0,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709167,"Kumquat, raw",6012,Citrus fruits,fruit,"breakfast,dinner,lunch",140.0,99.4,2.6,22.3,1.2,9.1,13.1,14.0,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709240,Lychee,6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,92.4,1.2,23.1,0.6,1.8,21.3,1.4,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709243,"Mango, canned",6024,Mango and papaya,fruit,"breakfast,dinner,lunch",140.0,91.0,0.9,22.7,0.4,1.7,21.3,1.4,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709205,"Mango, dried",6016,Dried fruits,fruit,"breakfast,dinner,lunch",40.0,127.6,1.0,31.4,0.5,1.0,26.5,64.8,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709244,"Mango, frozen",6024,Mango and papaya,fruit,"breakfast,dinner,lunch",140.0,84.0,1.1,21.0,0.5,2.2,19.1,1.4,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
